phate1,phate2,CCAT,velocity_length,A,K,P,WENR,mac,fib,curatedCLUST,OWNsig_stemO_UCell,OWNsig_stemS_UCell,condition,inverse_vvl,dist,deg,dist_scaled,inv_deg_scaled,potency_med,dynamic_med,VR
0.020640889,-0.005728893,0.2349460620145224,150.1205258,0,0,0,0,0,0,Late Enterocyte,0.0,0.164092593,WT,0.2375097887790293,0.011918925270468884,6,0.04212218914214433,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.19913248901925462
0.032035495,-0.003153725,0.3364468532994782,248.1202037,0,0,0,0,0,0,Early Enterocyte,0.0,0.080518519,WT,0.05453609482308139,0.02530651457506019,5,0.5971433888683129,1.0,0.3216785982449472,0.0931566128278711,0.2950735239684053
-0.006625303,-0.011886332,0.6235273553149923,217.0497393,0,0,0,0,0,0,CSC,0.110555556,0.064018519,WT,0.09465901746892244,0.006308459686246368,5,0.02354394994770359,1.0,0.5283128165839661,0.0431088893442971,0.47558303027887183
0.039917406,0.016761531,0.2650060058295959,231.1435582,0,0,0,0,0,0,Late Enterocyte,0.0,0.036351852,WT,0.0751221991788679,0.027773014009976095,5,0.4350181870828474,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.20659407169440536
0.035554125,0.002886573,0.16485042165076824,215.0785758,0,0,0,0,0,0,Late Enterocyte,0.0,0.049314815,WT,0.09759553394362289,0.0159867259697374,6,0.1429304185789042,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.20104696242244635
-0.024982037,0.003126552,0.6784222559531643,256.9904394,0,0,0,0,0,0,proCSC,0.131111111,0.133814815,WT,0.04486173407913416,0.007012918047172417,6,0.03729853033740016,0.6944444444444444,0.680724194680392,0.06900886625798297,0.6129091681415201
0.023443126,0.007596566,0.3416841986164334,251.3561971,0,0,0,0,0,0,Goblet / DCS,0.0,0.082425926,WT,0.05092763300258399,0.030366186117449494,5,0.2801632287803686,1.0,0.24927463108475012,0.1131515562123829,0.22751725850927357
0.005452678,0.006240431,0.2545799964313956,188.1229151,0,0,0,0,0,0,ER Stress,0.0,0.090759259,WT,0.14392713869698323,0.011485126198109267,5,0.2300013384015454,1.0,0.3462930749103823,0.2806624696887638,0.31811904178609396
-0.006662357,-0.007791035,0.3605062647963412,252.8838488,0,0,0,0,0,0,TA 1,0.0,0.158685185,WT,0.04925623502837237,0.006403334081184667,6,0.0887178659068974,0.6944444444444444,0.418506847419291,0.06268998905912201,0.3772123348816671
0.004199045,0.022102259,0.43485222290423975,71.3396918,0,0,0,0,0,0,ER Stress,0.004222222,0.195185185,WT,0.7490920556197173,0.013902889885212478,5,0.35210642998278713,1.0,0.3462930749103823,0.2806624696887638,0.32154607344257036
0.003286317,0.016414654,0.23641929014616947,166.8425627,0,0,0,0,0,0,ER Stress,0.0,0.243592593,WT,0.19107874336270167,0.007714021458015153,9,0.039548031443597975,0.11111111111111116,0.3462930749103823,0.2806624696887638,0.312773732236973
0.008192985,-0.006523473,0.4023904635488623,203.4240717,0,0,0,0,0,0,Early Enterocyte,0.0,0.152240741,WT,0.11612063209478804,0.014498077318488164,6,0.20550772870680745,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.29142517881208
0.009185625,-0.008990239,0.2936248543517235,152.806236,0,0,0,0,0,0,Late Enterocyte,0.0,0.159055556,WT,0.22936754301079362,0.022791055185129028,6,0.31155529266179466,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.20424935808351455
-0.004122986,-0.011192036,0.598959044051421,232.3508958,0,0,0,0,0,0,CSC,0.0,0.121555556,WT,0.07355880390808425,0.006944439957093535,5,0.07138815078550675,1.0,0.5283128165839661,0.0431088893442971,0.4757892813148401
0.00327072,0.018128666,0.4103134600047418,103.6749861,0,0,0,0,0,0,ER Stress,0.0,0.229222222,WT,0.44504708984533436,0.00886034192927733,7,0.09744102027106438,0.4285714285714284,0.3462930749103823,0.2806624696887638,0.3143985711591711
0.014623384,-0.013627721,0.3899180904187224,262.4686312,0,0,0,0,0,0,Early Enterocyte,0.0,0.084611111,WT,0.0392135469901945,0.009958153274634344,7,0.041006968070326,0.4285714285714284,0.3216785982449472,0.0931566128278711,0.2898927454452297
0.001439939,0.020414208,0.38306795534023064,85.81953023,0,0,0,0,0,0,ER Stress,0.0,0.283074074,WT,0.5846122561800645,0.011494527459566053,8,0.23047613331110722,0.25,0.3462930749103823,0.2806624696887638,0.3181323674972853
